id,symbol,date,open,high,low,close,adj_close,volume,created_at,dividends,stock_splits,capital_gains
1222,XLE,2025-10-20,86.13,87.09,86.13,86.89,86.89,12676200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1229,XLE,2025-10-21,87.13,87.33,86.25,86.69,86.69,12942600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1236,XLE,2025-10-22,87.27,88.18,86.54,87.8,87.8,16407000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1243,XLE,2025-10-23,89.37,89.56,88.43,88.97,88.97,23654400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1250,XLE,2025-10-24,89.37,89.4,88.01,88.07,88.07,10568139,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2092,XLI,2025-07-25,153.3066,154.422,152.729,154.3523,154.3523,9376600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2093,XLI,2025-07-28,154.432,154.5116,153.4361,153.8743,153.8743,9214700,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2094,XLI,2025-07-29,153.9141,153.9639,151.6136,152.1215,152.1215,13546500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2095,XLI,2025-07-30,151.9124,152.2111,150.6675,151.3746,151.3746,13795300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2096,XLI,2025-07-31,150.8866,152.4402,150.8866,151.3846,151.3846,16520400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2097,XLI,2025-08-01,149.333,149.7314,147.5205,149.1239,149.1239,19191700,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2098,XLI,2025-08-04,149.6418,150.6376,149.5023,150.4982,150.4982,11355600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2099,XLI,2025-08-05,150.2692,150.9763,149.1637,150.1895,150.1895,12724800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2100,XLI,2025-08-06,150.3289,150.6277,149.1936,150.309,150.309,10736700,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2101,XLI,2025-08-07,151.1555,151.2153,149.1737,150.0899,150.0899,11095100,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2102,XLI,2025-08-08,150.5281,151.1655,149.821,150.2094,150.2094,9124700,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2103,XLI,2025-08-11,150.2293,150.319,149.3629,149.7214,149.7214,9643500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2104,XLI,2025-08-12,150.3488,151.3348,150.06,151.275,151.275,9518300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2105,XLI,2025-08-13,151.7033,151.9423,150.1198,151.8526,151.8526,12786800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2106,XLI,2025-08-14,150.8269,151.275,150.2293,150.5082,150.5082,9516400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2107,XLI,2025-08-15,150.3588,150.6376,149.7115,149.821,149.821,8796000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2108,XLI,2025-08-18,149.831,150.5679,149.6816,150.4086,150.4086,7342100,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2109,XLI,2025-08-19,150.5779,151.6734,150.1298,150.7372,150.7372,9035200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2110,XLI,2025-08-20,150.5779,150.9464,149.6517,150.5978,150.5978,9549500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2111,XLI,2025-08-21,150.3787,150.7671,149.8011,150.06,150.06,7679600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2112,XLI,2025-08-22,150.8767,153.5656,150.8269,152.5099,152.5099,9298800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2113,XLI,2025-08-25,152.251,152.7589,150.9663,150.9862,150.9862,6869000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2114,XLI,2025-08-26,151.046,152.6892,150.9862,152.5398,152.5398,6927500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2115,XLI,2025-08-27,152.4701,152.7688,152.2211,152.5199,152.5199,5876400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2116,XLI,2025-08-28,153.0178,153.1174,152.2111,152.7888,152.7888,7166700,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2117,XLI,2025-08-29,152.5597,152.6792,150.787,151.3846,151.3846,8806100,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2118,XLI,2025-09-02,149.8011,150.0999,148.9944,149.9405,149.9405,9798600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2119,XLI,2025-09-03,149.9007,150.0003,148.4865,149.1837,149.1837,12036200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2120,XLI,2025-09-04,149.4625,150.8966,149.0641,150.8667,150.8667,10148800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2121,XLI,2025-09-05,151.1256,151.4543,148.7853,150.309,150.309,16781000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2122,XLI,2025-09-08,150.5082,150.9165,149.4924,150.6476,150.6476,11647200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2123,XLI,2025-09-09,150.3787,150.3887,148.7056,149.6318,149.6318,12179400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2124,XLI,2025-09-10,149.8808,151.2153,149.8509,150.7372,150.7372,16515000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2125,XLI,2025-09-11,150.8169,152.6394,150.5978,152.1713,152.1713,17820600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2126,XLI,2025-09-12,151.8526,152.2111,150.8667,150.9563,150.9563,8907500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2127,XLI,2025-09-15,151.3049,152.0518,151.0758,151.6535,151.6535,9412900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2128,XLI,2025-09-16,151.8825,152.0518,150.7173,151.2053,151.2053,10336100,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2129,XLI,2025-09-17,151.2651,152.0717,149.5322,150.5181,150.5181,12549500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2130,XLI,2025-09-18,150.8866,152.4701,150.5679,152.1215,152.1215,13071800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2131,XLI,2025-09-19,152.6195,152.8286,151.285,152.49,152.49,8778300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2132,XLI,2025-09-22,152.0,153.24,151.69,153.0,153.0,5688500,2025-10-24 22:59:49.677963,0.63,0.0,0.0
2133,XLI,2025-09-23,153.35,154.26,152.43,153.04,153.04,8589300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
